keyword,job_title,company,location,posted_time,job_url,job_description
data analyst,"Business Intelligence & Planning, ShopeeFood",Shopee,Ho Chi Minh City Metropolitan Area,3 weeks ago,https://vn.linkedin.com/jobs/view/business-intelligence-planning-shopeefood-at-shopee-4324828722?position=1&pageNum=0&refId=1LK1WIOM9IasMmbyW2KR1Q%3D%3D&trackingId=i7%2BdeSZrV0LkZImzv95e1g%3D%3D,"Mô tả công việc: Manage KPIs and incentive frameworks / tracking to monitor BD performance. Collaborate with PMO, BD, CP, and Fin teams to standardize SOPs for tracking out-of-system data (Ads, non-system investment, welcome package payment...) Develop and manage reporting dashboards to support BD teams in performance tracking Conduct BD team productivity and performance reviews; provide actionable insights to BD leadership. Deliver data analysis and support for decision-making. Yêu cầu công việc: 1–2 years of experience in Data Analysis, Business Analysis, or Business Intelligence. Hands-on experience with SQL and data crawling tools. Proficiency in Microsoft Office and Google Sheets. Experience in food delivery or e-commerce industries preferred. Strong project management and communication skills. Data-driven mindset with the ability to translate insights into actions. Ability to perform well under pressure in a fast-paced environment. Responsible, collaborative team player with a growth mindset."
data analyst,Data Analyst (Junior/Middle),Amaris Consulting,Vietnam,6 days ago,https://vn.linkedin.com/jobs/view/data-analyst-junior-middle-at-amaris-consulting-4345161425?position=2&pageNum=0&refId=1LK1WIOM9IasMmbyW2KR1Q%3D%3D&trackingId=qPCC1ylbcgQ7BhUyRikS8A%3D%3D,"Who are we? Amaris Consulting is an independent technology consulting firm providing guidance and solutions to businesses. With more than 1,000 clients across the globe, we have been rolling out solutions in major projects for over a decade – this is made possible by an international team of 7,600 people spread across 5 continents and more than 60 countries. Our solutions focus on four different Business Lines: Information System & Digital, Telecom, Life Sciences and Engineering. We’re focused on building and nurturing a top talent community where all our team members can achieve their full potential. Amaris is your steppingstone to cross rivers of change, meet challenges and achieve all your projects with success. At Amaris, we strive to provide our candidates with the best possible recruitment experience. We like to get to know our candidates, challenge them, and be able to give them proper feedback as quickly as possible. Here's what our recruitment process looks like: Brief Call : Our process typically begins with a brief virtual/phone conversation to get to know you! The objective? Learn about you, understand your motivations, and make sure we have the right job for you! Interviews (the average number of interviews is 3 - the number may vary depending on the level of seniority required for the position). During the interviews, you will meet people from our team: your line manager of course, but also other people related to your future role. We will talk in depth about you, your experience, and skills, but also about the position and what will be expected of you. Of course, you will also get to know Amaris: our culture, our roots, our teams, and your career opportunities! Case study : Depending on the position, we may ask you to take a test. This could be a role play, a technical assessment, a problem-solving scenario, etc. As you know, every person is different and so is every role in a company. That is why we have to adapt accordingly, and the process may differ slightly at times. However, please know that we always put ourselves in the candidate's shoes to ensure they have the best possible experience. We look forward to meeting you! Job Description ABOUT THE JOB Collect, clean, and analyze large datasets to extract actionable insights Develop and maintain dashboards and reports using Power BI for business stakeholders Implement data validation and quality assurance processes Collaborate with cross-functional teams to understand data requirements Identify trends, patterns, and anomalies in data to support decision-making Present findings and recommendations to internal and external clients Automate data processes and reporting where possible Ensure data security and compliance with company policies. About You Bachelor’s degree in Data Analytics, Computer Science, Business Analytics, or a related field 2+ years of experience in data analysis or similar role Proficiency with Power BI for dashboards/reports and other reporting tools Knowledge of data management and SQL for database queries Experience with programming languages for data analysis (e.g., Python, R) Good communication in English and interpersonal skills Ability to work cross-functionally and manage multiple projects effectively. WHY AMARIS? Competitive salary and 13th-month salary 14+ annual leaves per year Premium healthcare insurance, starting from your probation period Project reviews and yearly performance appraisals Annual company trip Teambuilding activities: Team lunch/dinner, events, and celebrations, sports clubs (football, basketball, badminton, pickleball) International team with flexible working time Tailor-made career path Technical workshops and training courses Mobility: Opportunities to be on-site abroad in our offices in over 60+ countries Equal Opportunity Amaris Consulting is proud to be an equal opportunity workplace. We are committed to promote diversity within the workforce and creating an inclusive working environment. For this purpose, we welcome applications from all qualified candidates regardless of gender, sexual orientation, race, ethnicity, beliefs, age, marital status, disability, or other characteristics."
data analyst,Senior Business Intelligence Analyst,SPX Express,"Ho Chi Minh City, Vietnam",2 days ago,https://vn.linkedin.com/jobs/view/senior-business-intelligence-analyst-at-spx-express-4328877847?position=3&pageNum=0&refId=1LK1WIOM9IasMmbyW2KR1Q%3D%3D&trackingId=KXhfFFmhXx%2BRdEEG4WDPQg%3D%3D,"Job description: Data Analytics: Develop, manage business intelligence solutions and provide data reports to improve business operation and processes Evaluate and define business metrics, democrats data by building and socialising decision tools (dashboard, reports) Prepare business cases or calculations for key initiatives Support various business functions with the development and maintenance of various management reports Stakeholder Management: Collaborate with stakeholders for the purpose of collecting data and execute company’s mission Identify the development needs of data analytics and reporting for stakeholders for the purpose of improving operations of the organization for efficiency and profitability Consult business stakeholders (e.g. Business Development, Operation Excellence, etc.) to run analysis that lead to actionable Insights to growth the business Lead the effort to communicate state of the business to stakeholders regularly with the purpose of enabling SPX Express team understand reasons behind the trends and provide insight to drive strategic decisions Job requirements: Bachelor’s Degree in Computer Science, Statistics, Mathematics, Economics and other related courses At least 3 years of industry experience in Business Intelligence or Data Analytics role with proven business impact Experience in mySQL is compulsory Experience working with cross-functional teams to gather requirements and define the right metrics to describe the state of the business - both on a macro-level and a micro-level Passion for creating highly usable and thorough dashboards/visualizations Strong analytical thinking and ability to learn quickly with can do attitude Knowing statistical programming language (Python, R) to manipulate and draw insights from large data set is a plus Excellence written and verbal communication skills in English and Vietnamese to coordinate with stakeholders from across the region"
data analyst,Data Analyst,Highlands Coffee®,Ho Chi Minh City Metropolitan Area,3 weeks ago,https://vn.linkedin.com/jobs/view/data-analyst-at-highlands-coffee%C2%AE-4348239400?position=4&pageNum=0&refId=1LK1WIOM9IasMmbyW2KR1Q%3D%3D&trackingId=eE6JUEnJfIh4eshZKVnLNg%3D%3D,"Job overview: Data Analyst is responsible for developing & implementing data analyses, data collection systems that optimize statistical efficiency and quality while ensuring the accuracy of datasets in the data warehouse. This role will also support cross-functional teams in interpreting data, analyzing results, and building dashboards & reports to ensure that business performance is tracked and reported accurately. Key Accountabilities Manage and Enhance Internal Sales Database Define, prepare, and perform Extract, Transform, Load (ETL) processes to ensure comprehensive data availability. Work with IT and Data Scientist team to ensure data warehouses, data structure, models support business retrieval needs, ensuring the accuracy, completeness, and integrity of datasets. Develop and implement effective data analyses and collection systems to enhance statistical efficiency. Support the development and implementation of an integrated insights and information platform (data management, analytics tools, reporting dashboards, and technologies) to enhance data collection, analysis, and knowledge management. Conduct regular audits and validation checks to ensure data integrity and accuracy, promptly identifying and resolving discrepancies. Support Digital transformation project, ensure a smooth transition to new data platform. Work closely with cross-functional teams to understand their data needs, develop automated update templates, provide analytical support, and assist in interpreting data to derive actionable insights. Assist the Business Analyzing Manager in executing analyses and reports on the performance of business and marketing initiatives to optimize the effectiveness of marketing campaigns, promotions, pricing strategies, loyalty programs, and other commercial initiatives. Assist Head of Strategic Planning & Insights in providing data, holistic analysis for research waterfall, annual business review, Must win strategic pillars. Provide analytical support for ad-hoc requests and special projects as needed. Job Requirements: Bachelor’s degree in Data Science, Statistics, Mathematics, Economics, or a related field. Data Analyst certification from recognized institutions (e.g., Microsoft, LinkedIn Learning, Big 4, IIBA) is a plus. 02+ years of experience in data analysis or a related role. Business acumen. Experience working in a Data Processing Department of a research agency, AND/OR in research project management, analysis and reporting is a plus. Proficient in statistical packages for data analysis (e.g., Excel, SPSS, SAS, SQL, BigQuery, Power BI) and reporting tools (e.g., Power View, Power BI, Tableau). Familiarity with the Food & Beverage (F&B) industry is advantageous. Strong analytical and problem-solving abilities. Effective communication and presentation skills, both written and verbal. Strong teamwork spirit and the ability to collaborate effectively with cross-functional teams. High attention to detail Results focused – ability to deliver in high pressure environment. Good English in Speaking and Writing."
data analyst,Data Analyst (Power BI and Databricks),Keyrus,"Ho Chi Minh City, Vietnam",1 week ago,https://vn.linkedin.com/jobs/view/data-analyst-power-bi-and-databricks-at-keyrus-4327679204?position=5&pageNum=0&refId=1LK1WIOM9IasMmbyW2KR1Q%3D%3D&trackingId=wJTCQkbwXKMyRDM%2BWmN5Fw%3D%3D,"Keyrus is an international consulting firm, specializing in the integration of data intelligence and Digital solutions. With over 3000 employees spread across 20 countries, Keyrus continues to deliver on such projects to a wide range of clients from various industries including but not limited to Banking/Finance, Healthcare/pharmaceuticals, FMCG, Oil & Gas, and more. As part of Keyrus’ solution delivery, we are also in a position to recruit and place technical consultants to complement on existing client projects with their expertise. As such, we seek innovative and agile people to support ambitious and forthcoming technological challenges. We are looking for a talented and enthusiastic candidate to join our client's Data team as a Data Analyst (Power BI and Databricks) . In this role, you will be responsible for engaging with business users and driving the adoption of data solutions. Key Responsibilities Design, develop, and maintain interactive dashboards and reports in Power BI . Build and optimize data pipelines and workflows in Databricks for large-scale datasets. Collaborate with business stakeholders to understand reporting and analytical requirements. Translate business requirements into scalable data models and actionable insights. Required Competencies Bachelor’s or Master’s degree in Computer Science, Statistics, Mathematics, Data Science, or related field . 1+ years of experience in data analytics or business intelligence roles. Strong expertise in Power BI Hands-on experience with Databricks (Spark, SQL, Python/Scala). Proficient in SQL and data modeling concepts. Experience with ETL/ELT processes , data warehousing, and cloud platforms (Azure, AWS, or GCP)."
data analyst,Data Analyst,TymeX,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",3 months ago,https://vn.linkedin.com/jobs/view/data-analyst-at-tymex-4299767188?position=6&pageNum=0&refId=1LK1WIOM9IasMmbyW2KR1Q%3D%3D&trackingId=FnTBUp32t0NcFPUuhoA3ug%3D%3D,"About This Role: We're looking for a Data Analyst who's excited to dig into the numbers, uncover insights, and help the business make smarter decisions. In this role, you'll partner with teams across the company to understand their questions, explore the data, and turn your findings into clear, practical recommendations. While your main focus will be analysis and storytelling, you'll also bring solid technical skills to the table — helping us build reliable datasets, improve reporting, and make sure our data is accurate and easy to use. You'll play a big part in strengthening our data-driven culture by making information more accessible and empowering colleagues to use data with confidence. Key Responsibilities Data Exploration & Modeling Collect, clean, and analyze data from multiple sources to support business needs. Build and maintain core analytical datasets and reports for cross-functional teams Ensure accuracy, consistency, and reliability of data through validation and quality checks. Apply statistical and analytical techniques to uncover trends and opportunities Business Partnership & Strategic Analysis Collaborate with business stakeholders to understand requirements and deliver actionable insights Conduct in-depth analyses on customer behavior, product usage, and market trends Translate complex data findings into clear, impactful recommendations for business strategy Support data-driven decision-making across marketing, operations, finance, and product teams Analytics Develop dashboards and KPI tracking tools to monitor business performance Design and execute experiments (e.g., A/B tests) to evaluate initiatives Present insights clearly and compellingly to technical and non-technical audiences Team Development & Knowledge Sharing Promote data literacy by helping colleagues understand and leverage analytical tools Share best practices in data analysis, visualization, and reporting Contribute to documentation and training to enhance organizational analytics maturity Dedicate a portion of time to cross-team projects that enhance company-wide data capabilities Requirements Technical Skills Programming: Strong SQL expertise including complex queries, CTEs, window functions, and optimization Languages: Proficiency in Python or PySpark for data manipulation and analysis Statistics: Solid foundation in statistical analysis, hypothesis testing, and experimental design Data Visualization: Experience with BI tools (Looker preferred, Tableau, or similar) Experience with Databricks Business & Financial Services 2+ years experience in financial services, fintech, or banking environment Understanding of credit risk, lending products, and regulatory requirements Knowledge of GDPR and data governance Experience with customer lifecycle analytics and retention strategies Core Competencies Business Judgment: Ability to make strategic and operational decisions using data Problem-Solving: Tackle complex problems involving business, regulatory, and operational variables Communication: Exceptional ability to influence stakeholders and present data convincingly Collaboration: Experience working cross-functionally with non-technical teams Preferred Qualifications Bachelor's degree in Mathematics, Statistics, Economics, Computer Science, or related quantitative field Experience with big data technologies and cloud platforms Machine learning and AI knowledge Previous experience in high-growth startup environments Familiarity with data modeling using statistical algorithms Experience building automated testing and monitoring systems Benefits Meal and parking allowance are covered by the company Full benefits and salary rank during probation Insurances as Vietnamese labor law and premium health care for you and your family without seniority compulsory Performance bonus up to 2 months 13th month salary pro-rata 15-day annual leave+ 3-day sick leave + 1 birthday leave + 1 Christmas leave SMART goals and clear career opportunities (technical seminar, conference, and career talk) - we focus on your development Values-driven, international working environment, and agile culture Overseas travel opportunities for training and working related Internal Hackathons and company's events (team building, coffee run, blue card...) Work-life balance 40-hr per week from Mon to Fri"
data analyst,"Business Intelligence & Planning (KPI & Incentive), ShopeeFood",Shopee,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2 days ago,https://vn.linkedin.com/jobs/view/business-intelligence-planning-kpi-incentive-shopeefood-at-shopee-4345940860?position=7&pageNum=0&refId=1LK1WIOM9IasMmbyW2KR1Q%3D%3D&trackingId=hDahvbhDouPrHbbdODUE%2Fw%3D%3D,"Job Description Manage KPIs and incentive frameworks / tracking to monitor BD performance. Collaborate with PMO, BD, CP, Fin teams to standardize SOPs for tracking out of system data (Ads, non system investment, welcome package payment...) Develop and manage reporting dashboards to support BD teams in performance tracking Conduct BD team productivity and performance reviews; provide actionable insights to BD leadership. Deliver data analysis and support for decision-making. Requirements 1–2 years of experience in Data Analysis, Business Analysis, or Business Intelligence. Hands-on experience with SQL and data crawling tools. Proficiency in Microsoft Office and Google Sheets. Experience in food delivery or e-commerce industries preferred. Strong project management and communication skills. Data-driven mindset with the ability to translate insights into actions. Ability to perform well under pressure in a fast-paced environment. Responsible, collaborative team player with a growth mindset."
data analyst,Data Analyst,Mirae Asset Finance Company (Vietnam),"Ho Chi Minh City, Vietnam",2 weeks ago,https://vn.linkedin.com/jobs/view/data-analyst-at-mirae-asset-finance-company-vietnam-4325894632?position=8&pageNum=0&refId=1LK1WIOM9IasMmbyW2KR1Q%3D%3D&trackingId=nQQRK07ohkcllj1O1jxa7w%3D%3D,"Job description: Monthly Service Reconciliation: Responsible for reconciling the company’s monthly service transactions, ensuring accuracy and timeliness in reporting. Weekly and Monthly Reports Management: Maintain and operate weekly and monthly reports on business performance, progress, and key business metrics. Request Analysis and Report Creation: Receive requests from Business Units (BU), analyze requirements and business processes, identify relevant data, and build reports on sales channels and underwriting effectiveness. Cross-Check Reports: Support in cross-checking and validating reports from other departments to ensure data consistency and accuracy. Customer Data Verification: Support the process of verifying and validating potential customer data before passing it to the sales teams. Job requirement: Bachelor‘s Degree/higher/equivalent in Information Technology, MIS, Economics or related fields. At least 2-3 years experience in a similar position, especially in report reconciliation and data analysis. At least 2 years of working experience with design dashboards, analytics reports for the business team. Proficient in SQL for data retrieval and analysis. Experience with one of the BI tools such as PowerBI, OBIEE, Cognos,... Preferably working in Financial & Banking institution. Strong analytical, communication, and problem-solving skills. Good demonstration of communication and presentation skills."
data analyst,Data Analyst,Astek Vietnam,Hanoi Capital Region,1 week ago,https://vn.linkedin.com/jobs/view/data-analyst-at-astek-vietnam-4350160620?position=9&pageNum=0&refId=1LK1WIOM9IasMmbyW2KR1Q%3D%3D&trackingId=Hqm8EI2mYLrm3acDhQbZlw%3D%3D,"JOB DESCRIPTION Position : Data Analyst/ Business Intelligence Quantity : 01 (Middle) Type : Full-time Work model : Onsite Location : 5th Floor, TTC Building, No.19 Duy Tan St., Dich Vong Hau Ward, Cau Giay Dist., Hanoi Capital, Vietnam ABOUT US Astek is a global player in engineering and technology consulting, founded in France in 1988. Today, we are +7500 engineers across over 22 countries in the world. With expertise in many industrial and tertiary sectors, we support our international clients in the intelligent deployment of their products and services, and in the implementation of their digital transformation. Astek Vietnam is established in 2022 to increase group’s capability to support our clients’ operation around the globe, leveraging Vietnam talented engineers. More information about our group: https://astekgroup.fr/ JOB DESCRIPTION & REQUIREMENTS Job Description Work closely with business owners to analyze data requirements Translating Business Requirements into data models and visualizations Build, deploy and maintain interactive dashboards and reports using Power BI Utilize Power Query and DAX to Clean Data Familiar with different data sources and connectors (SQL Server, OLE DB, Excel Online, Sharepoint etc.) Data Modeling for Performance Requirements and qualifications Min +3 years of experience as a Data Analyst/ Business Intelligence or similar role Strong Analytical and problem solving skills Critical thinker and problem-solving skills Team player Good time-management skills Great interpersonal and communication skills Proficiency in English is required Microsoft PowerBI certificates is preferable BENEFITS Attractive salary: Nego. Performance based award. Young and dynamic working environment. Continuous development of hard and soft skills through work and professional training. Opportunity to approach newest technology trends. Salary reviews 1 times/year or on excellent performance Company’s labor policy completely pursuant to Vietnamese labor legislation plus other benefits offered by the company (Company trip, Holiday, etc.) CONTACT ASTEK VIETNAM Contact Person: Ms. Dzung Nguyen Phone Number : 0969988029 Email: Thi-Kim-Dung.NGUYEN@astek.net Website: https://astekgroup.fr/?lang=en"
data analyst,"Business Intelligence Analyst (Operations) - Business Intelligence & Planning, Shopee",Shopee,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2 weeks ago,https://vn.linkedin.com/jobs/view/business-intelligence-analyst-operations-business-intelligence-planning-shopee-at-shopee-4322873427?position=10&pageNum=0&refId=1LK1WIOM9IasMmbyW2KR1Q%3D%3D&trackingId=3WoVHhHUj7KtNT5kuNSLAg%3D%3D,"Job Description Evaluate and define business metrics, democratize data by building and socializing decision tools (dashboard, reports) Work closely with business stakeholders (Seller Operations/ Fraud/ Payment) to conduct analysis that lead to actionable insights to grow the business and strengthen Operation performance. Consult business stakeholders to run analysis/data support that leads to actionable insights to grow/optimize the business Support various business functions with the development and maintenance of various management reports Requirements From 2+ years of experience in Business Intelligence or Data Analytics role with proven business impact Strong analytical thinking and ability to learn quickly with can do attitude Excellence written and verbal communication skills in English and Vietnamese Experience working with cross-functional teams to gather requirements and define the right metrics to describe the state of the business - both on a macro-level and a micro-level Strong experience in SQL Advanced Excel skills with knowledge in Power Query, Power Pivots Knowing statistical programming language (Python, R) to manipulate and draw insights from large data sets is a plus"
