keyword,job_title,company,location,posted_time,job_url,job_description
data analyst,"Business Intelligence & Planning, ShopeeFood",Shopee,Ho Chi Minh City Metropolitan Area,3 weeks ago,https://vn.linkedin.com/jobs/view/business-intelligence-planning-shopeefood-at-shopee-4324828722?position=1&pageNum=0&refId=0O6b%2BVaF%2FYrwtu8iPx5Oow%3D%3D&trackingId=71KL2qS%2Bh2uSfG8XKBYa6A%3D%3D,"Mô tả công việc: Manage KPIs and incentive frameworks / tracking to monitor BD performance. Collaborate with PMO, BD, CP, and Fin teams to standardize SOPs for tracking out-of-system data (Ads, non-system investment, welcome package payment...) Develop and manage reporting dashboards to support BD teams in performance tracking Conduct BD team productivity and performance reviews; provide actionable insights to BD leadership. Deliver data analysis and support for decision-making. Yêu cầu công việc: 1–2 years of experience in Data Analysis, Business Analysis, or Business Intelligence. Hands-on experience with SQL and data crawling tools. Proficiency in Microsoft Office and Google Sheets. Experience in food delivery or e-commerce industries preferred. Strong project management and communication skills. Data-driven mindset with the ability to translate insights into actions. Ability to perform well under pressure in a fast-paced environment. Responsible, collaborative team player with a growth mindset."
data analyst,Data Analyst (Junior/Middle),Amaris Consulting,Vietnam,6 days ago,https://vn.linkedin.com/jobs/view/data-analyst-junior-middle-at-amaris-consulting-4345161425?position=2&pageNum=0&refId=0O6b%2BVaF%2FYrwtu8iPx5Oow%3D%3D&trackingId=7BwVwRgjdt8eAZJmU8WsWg%3D%3D,"Who are we? Amaris Consulting is an independent technology consulting firm providing guidance and solutions to businesses. With more than 1,000 clients across the globe, we have been rolling out solutions in major projects for over a decade – this is made possible by an international team of 7,600 people spread across 5 continents and more than 60 countries. Our solutions focus on four different Business Lines: Information System & Digital, Telecom, Life Sciences and Engineering. We’re focused on building and nurturing a top talent community where all our team members can achieve their full potential. Amaris is your steppingstone to cross rivers of change, meet challenges and achieve all your projects with success. At Amaris, we strive to provide our candidates with the best possible recruitment experience. We like to get to know our candidates, challenge them, and be able to give them proper feedback as quickly as possible. Here's what our recruitment process looks like: Brief Call : Our process typically begins with a brief virtual/phone conversation to get to know you! The objective? Learn about you, understand your motivations, and make sure we have the right job for you! Interviews (the average number of interviews is 3 - the number may vary depending on the level of seniority required for the position). During the interviews, you will meet people from our team: your line manager of course, but also other people related to your future role. We will talk in depth about you, your experience, and skills, but also about the position and what will be expected of you. Of course, you will also get to know Amaris: our culture, our roots, our teams, and your career opportunities! Case study : Depending on the position, we may ask you to take a test. This could be a role play, a technical assessment, a problem-solving scenario, etc. As you know, every person is different and so is every role in a company. That is why we have to adapt accordingly, and the process may differ slightly at times. However, please know that we always put ourselves in the candidate's shoes to ensure they have the best possible experience. We look forward to meeting you! Job Description ABOUT THE JOB Collect, clean, and analyze large datasets to extract actionable insights Develop and maintain dashboards and reports using Power BI for business stakeholders Implement data validation and quality assurance processes Collaborate with cross-functional teams to understand data requirements Identify trends, patterns, and anomalies in data to support decision-making Present findings and recommendations to internal and external clients Automate data processes and reporting where possible Ensure data security and compliance with company policies. About You Bachelor’s degree in Data Analytics, Computer Science, Business Analytics, or a related field 2+ years of experience in data analysis or similar role Proficiency with Power BI for dashboards/reports and other reporting tools Knowledge of data management and SQL for database queries Experience with programming languages for data analysis (e.g., Python, R) Good communication in English and interpersonal skills Ability to work cross-functionally and manage multiple projects effectively. WHY AMARIS? Competitive salary and 13th-month salary 14+ annual leaves per year Premium healthcare insurance, starting from your probation period Project reviews and yearly performance appraisals Annual company trip Teambuilding activities: Team lunch/dinner, events, and celebrations, sports clubs (football, basketball, badminton, pickleball) International team with flexible working time Tailor-made career path Technical workshops and training courses Mobility: Opportunities to be on-site abroad in our offices in over 60+ countries Equal Opportunity Amaris Consulting is proud to be an equal opportunity workplace. We are committed to promote diversity within the workforce and creating an inclusive working environment. For this purpose, we welcome applications from all qualified candidates regardless of gender, sexual orientation, race, ethnicity, beliefs, age, marital status, disability, or other characteristics."
data analyst,Senior Business Intelligence Analyst,SPX Express,"Ho Chi Minh City, Vietnam",2 days ago,https://vn.linkedin.com/jobs/view/senior-business-intelligence-analyst-at-spx-express-4328877847?position=3&pageNum=0&refId=0O6b%2BVaF%2FYrwtu8iPx5Oow%3D%3D&trackingId=vmrqYaz0qqFX8VIWoAVtdQ%3D%3D,"Job description: Data Analytics: Develop, manage business intelligence solutions and provide data reports to improve business operation and processes Evaluate and define business metrics, democrats data by building and socialising decision tools (dashboard, reports) Prepare business cases or calculations for key initiatives Support various business functions with the development and maintenance of various management reports Stakeholder Management: Collaborate with stakeholders for the purpose of collecting data and execute company’s mission Identify the development needs of data analytics and reporting for stakeholders for the purpose of improving operations of the organization for efficiency and profitability Consult business stakeholders (e.g. Business Development, Operation Excellence, etc.) to run analysis that lead to actionable Insights to growth the business Lead the effort to communicate state of the business to stakeholders regularly with the purpose of enabling SPX Express team understand reasons behind the trends and provide insight to drive strategic decisions Job requirements: Bachelor’s Degree in Computer Science, Statistics, Mathematics, Economics and other related courses At least 3 years of industry experience in Business Intelligence or Data Analytics role with proven business impact Experience in mySQL is compulsory Experience working with cross-functional teams to gather requirements and define the right metrics to describe the state of the business - both on a macro-level and a micro-level Passion for creating highly usable and thorough dashboards/visualizations Strong analytical thinking and ability to learn quickly with can do attitude Knowing statistical programming language (Python, R) to manipulate and draw insights from large data set is a plus Excellence written and verbal communication skills in English and Vietnamese to coordinate with stakeholders from across the region"
data analyst,Data Analyst,Highlands Coffee®,Ho Chi Minh City Metropolitan Area,3 weeks ago,https://vn.linkedin.com/jobs/view/data-analyst-at-highlands-coffee%C2%AE-4348239400?position=4&pageNum=0&refId=0O6b%2BVaF%2FYrwtu8iPx5Oow%3D%3D&trackingId=t4HWF7JmDBh1PekLHrYczw%3D%3D,"Job overview: Data Analyst is responsible for developing & implementing data analyses, data collection systems that optimize statistical efficiency and quality while ensuring the accuracy of datasets in the data warehouse. This role will also support cross-functional teams in interpreting data, analyzing results, and building dashboards & reports to ensure that business performance is tracked and reported accurately. Key Accountabilities Manage and Enhance Internal Sales Database Define, prepare, and perform Extract, Transform, Load (ETL) processes to ensure comprehensive data availability. Work with IT and Data Scientist team to ensure data warehouses, data structure, models support business retrieval needs, ensuring the accuracy, completeness, and integrity of datasets. Develop and implement effective data analyses and collection systems to enhance statistical efficiency. Support the development and implementation of an integrated insights and information platform (data management, analytics tools, reporting dashboards, and technologies) to enhance data collection, analysis, and knowledge management. Conduct regular audits and validation checks to ensure data integrity and accuracy, promptly identifying and resolving discrepancies. Support Digital transformation project, ensure a smooth transition to new data platform. Work closely with cross-functional teams to understand their data needs, develop automated update templates, provide analytical support, and assist in interpreting data to derive actionable insights. Assist the Business Analyzing Manager in executing analyses and reports on the performance of business and marketing initiatives to optimize the effectiveness of marketing campaigns, promotions, pricing strategies, loyalty programs, and other commercial initiatives. Assist Head of Strategic Planning & Insights in providing data, holistic analysis for research waterfall, annual business review, Must win strategic pillars. Provide analytical support for ad-hoc requests and special projects as needed. Job Requirements: Bachelor’s degree in Data Science, Statistics, Mathematics, Economics, or a related field. Data Analyst certification from recognized institutions (e.g., Microsoft, LinkedIn Learning, Big 4, IIBA) is a plus. 02+ years of experience in data analysis or a related role. Business acumen. Experience working in a Data Processing Department of a research agency, AND/OR in research project management, analysis and reporting is a plus. Proficient in statistical packages for data analysis (e.g., Excel, SPSS, SAS, SQL, BigQuery, Power BI) and reporting tools (e.g., Power View, Power BI, Tableau). Familiarity with the Food & Beverage (F&B) industry is advantageous. Strong analytical and problem-solving abilities. Effective communication and presentation skills, both written and verbal. Strong teamwork spirit and the ability to collaborate effectively with cross-functional teams. High attention to detail Results focused – ability to deliver in high pressure environment. Good English in Speaking and Writing."
data analyst,Data Analyst (Power BI and Databricks),Keyrus,"Ho Chi Minh City, Vietnam",1 week ago,https://vn.linkedin.com/jobs/view/data-analyst-power-bi-and-databricks-at-keyrus-4327679204?position=5&pageNum=0&refId=0O6b%2BVaF%2FYrwtu8iPx5Oow%3D%3D&trackingId=rQgoltC13yDtO0htKPFWpg%3D%3D,
data analyst,Data Analyst,TymeX,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",3 months ago,https://vn.linkedin.com/jobs/view/data-analyst-at-tymex-4299767188?position=6&pageNum=0&refId=0O6b%2BVaF%2FYrwtu8iPx5Oow%3D%3D&trackingId=FQ%2FNqj%2FUO0Tt3dp%2BQT2WGw%3D%3D,
data analyst,Data Analysts Intern,SOCOTEC,"Đình Ba, Hanoi, Vietnam",18 hours ago,https://vn.linkedin.com/jobs/view/data-analysts-intern-at-socotec-4329284746?position=7&pageNum=0&refId=0O6b%2BVaF%2FYrwtu8iPx5Oow%3D%3D&trackingId=wN%2FilmULTThQcivtKAhKvQ%3D%3D,
data analyst,"Business Intelligence & Planning (KPI & Incentive), ShopeeFood",Shopee,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",3 days ago,https://vn.linkedin.com/jobs/view/business-intelligence-planning-kpi-incentive-shopeefood-at-shopee-4345940860?position=8&pageNum=0&refId=0O6b%2BVaF%2FYrwtu8iPx5Oow%3D%3D&trackingId=CnG26UW8MyXUzs6825Vmvg%3D%3D,
data analyst,Data Analyst,Astek Vietnam,Hanoi Capital Region,1 week ago,https://vn.linkedin.com/jobs/view/data-analyst-at-astek-vietnam-4350160620?position=9&pageNum=0&refId=0O6b%2BVaF%2FYrwtu8iPx5Oow%3D%3D&trackingId=PQ4aHgoxT1nd3xV%2FEaeHrw%3D%3D,
data analyst,Data Analyst,Mirae Asset Finance Company (Vietnam),"Ho Chi Minh City, Vietnam",2 weeks ago,https://vn.linkedin.com/jobs/view/data-analyst-at-mirae-asset-finance-company-vietnam-4325894632?position=10&pageNum=0&refId=0O6b%2BVaF%2FYrwtu8iPx5Oow%3D%3D&trackingId=fVfpNqeRTEy4D%2Fqv0MuTiQ%3D%3D,
