keyword,job_title,company,location,posted_time,job_url,job_description
artificial intelligence,AI Engineer,Samsung Electronics HCMC CE Complex,Ho Chi Minh City Metropolitan Area,1 year ago,https://vn.linkedin.com/jobs/view/ai-engineer-at-samsung-electronics-hcmc-ce-complex-4102959176?position=1&pageNum=0&refId=33Y66S1lSv%2FjePRg7CCs0A%3D%3D&trackingId=mdzwIHB%2F2niHGnRwKf7%2BTw%3D%3D,"Position Summary Role and Responsibilities Research, design and apply machine learning for auto defect analysis and issues detection. Improve auto ecosystem with intelligent auto testing solution. Data analysis and find out the issue, analyze production defect in real market. Ensures completion of all documentation required for production introduction. Use GitHub for source code repository and Jira for task tracking. Skills And Qualifications Bachelor's or Master's Degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. 2+ years of experience with Python, SQL/NoSQL, Linux, Docker, AI Good in English communication for working. Ability to work on multiple tasks concurrently. Self-motivated with a strong desire to learn. Solid decision-making skills and judgment – can be depended upon to meet goals, foresee and avert problems. Python programming experience. Solid scripting skills (i.e., shell scripts, Python). Familiarity in relevant machine learning frameworks and packages such as Tensorflow and PyTorch. Thorough understanding of NLP techniques for text representation and modeling Strong understanding SLQ/NoSQL, Docker. Familiar with graph, data display & analysis. Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here."
artificial intelligence,AI Developer (Vietnam),Azeus Systems Limited,Ho Chi Minh City Metropolitan Area,5 months ago,https://vn.linkedin.com/jobs/view/ai-developer-vietnam-at-azeus-systems-limited-4272014169?position=2&pageNum=0&refId=33Y66S1lSv%2FjePRg7CCs0A%3D%3D&trackingId=FEFx5ygmBkydDHE8%2BJqUeg%3D%3D,"As an AI Developer , you will design, develop and implement AI-enhanced applications. You will analyze data sets to identify patterns, create frameworks and develop predictive algorithmic models to deliver intelligent systems that are capable of performing tasks that usually require human cognition in order to solve complex business problems and for faster business processing. Specifically, you are expected to: Design, develop, optimize, and implement AI systems to meet business requirements. Monitor the performance of deployed scalable AI models and frameworks, making necessary adjustments or updates to improve accuracy and reliability, and address any issues or bugs that arise during the system's operation. Collaborate with cross-functional teams to analyze the business needs and define problems to identify the goals and requirements of AI systems. Work closely with the development team to ensure seamless AI development and integration, and define APIs and protocols for communication between AI systems and external services. Document AI models and infrastructure, processes, and practices for reference, and present progress to the leadership team and stakeholders. Implement strong data security and privacy measures for data handled in AI applications. Stay current with emerging AI research and technologies, and initiate innovative solutions & improvements to advance our AI capabilities. Conduct training and share knowledge & expertise in AI to the team. Your profile: Bachelors degree in Computer Science, IT, Data Science, or any related field. 2 years of experience with AI development, Natural Language Processing, and Large Language Models. Proven track record of deploying AI models in production. Proficiency in programming languages such as Python, JavaScript, or C++. Knowledge of SQL and NoSQL databases Experience with machine learning frameworks and libraries (TensorFlow, Keras, PyTorch, Scikit-learn) Familiarity with machine learning models & algorithms, cloud computing platforms (AWS, Microsoft Azure, Google Cloud Platform), containerization (Docker, Kubernetes), deep learning and concepts of Natural Language Processing (NLP) and/or Natural Language Generation (NLG) Eagerness to learn and continuously expand knowledge in emerging fields. Has strong interpersonal and communication skills with a willingness to collaborate with different teams. Others: This is for a hybrid work setup. Successful completion of background check and NBI clearance will be required."
artificial intelligence,AI Engineer,TMA Solutions - Tuyển Dụng Ứng Viên Kinh Nghiệm,"Quang Trung Ward, Hanoi, Vietnam",2 days ago,https://vn.linkedin.com/jobs/view/ai-engineer-at-tma-solutions-tuy%C3%AA%CC%89n-du%CC%A3ng-%C6%B0%CC%81ng-vi%C3%AAn-kinh-nghi%C3%AA%CC%A3m-4345933643?position=3&pageNum=0&refId=33Y66S1lSv%2FjePRg7CCs0A%3D%3D&trackingId=pqkHg1XdbGXOcQ4IwMjIQw%3D%3D,"Số lượng: 5 Ngày hết hạn: 31/03/2026 Tòa nhà TMA - Lô số 17, đường số 10, Khu Công viên phần mềm Quang Trung, Phường Trung Mỹ Tây, Thành phố Hồ Chí Minh. Kinh nghiệm: Đã có kinh nghiệm Job Description We are looking for talent AI Engineer to implement and optimize AI products. Responsibilities Data collecting, labeling and preprocessing. Research and training AI/ML model for specific problem Develop AI/ML application, especially for Computer Vision, Audio, RAG, ... Validating, testing and retrain to improve the AI/ML model. Deploy AI/ML application in cloud platform, such as AWS, GCP Optimize AI/ML model that can be run on Edge devices. Required Skills/Experience Good Knowledge in Linear Algebra and Statistical Probability Strong background in at least one areas of machine learning algorithm, such as Linear Regression, Logistic Regression, Decision Tree. Good knowledge in Deep Learning network, such as CNN, RNN, Transformer, ... Good knowledge in training and finetuning AI/ML model. Familiar with AI/ML development framework like Tensorflow, Pytorch. Strong programming background and data structure as well as algorithm Good at Python and/or C/C++ Familiar with Linux OS, such as Ubuntu, Debian, ... Familiar with Anaconda and Jupiter notebook Good analytical and problem-solving capabilities Intermediate English skills Have knowledge in Clouding Computing and Big Data is a plus Years Of Experiences Fresher Experienced >2YoE Benefits/ Opportunity Working in an international, dynamic and professional environment with many opportunities to develop career Having opportunities of being trained oversea and working directly with oversea customer A stable and rewarding position where your long-term commitment will be highly valued Technical & Soft skills internal training courses Many company activities (Sport and music festival, TMA Futsal league …) are held annually Competitive salary and bonus Total Health Care Insurance Loan Fund Team Building Fund"
artificial intelligence,AI_NLP ENGINEER (SALARY UP TO 40 MIL GROSS + BONUS),ĐÚNG NGƯỜI ĐÚNG VIỆC,"Hanoi, Hanoi, Vietnam",3 months ago,https://vn.linkedin.com/jobs/view/ai-nlp-engineer-salary-up-to-40-mil-gross-%2B-bonus-at-%C4%91%C3%BAng-ng%C6%B0%E1%BB%9Di-%C4%91%C3%BAng-vi%E1%BB%87c-4296193490?position=4&pageNum=0&refId=33Y66S1lSv%2FjePRg7CCs0A%3D%3D&trackingId=yg2Yyl09OXPpYnhF6%2B3Lqw%3D%3D,"Mô tả công việc Architect and Develop Advanced NLP Models: Pioneer cutting-edge solutions for a range of educational applications, including: Automated Scoring & Feedback: Design systems for instant and accurate scoring of essays, pronunciation, grammar, and vocabulary. Intelligent Learning Assistants: Build sophisticated AI tutors and conversational agents that can understand student queries, provide contextual explanations, and guide them through their learning journey. Robust Speech Technologies: Implement and fine-tune state-of-the-art Speech-to-Text (S2T) and Text-to-Speech (T2S) models to create immersive practice environments. Pioneer our AI Conversation Partner: Build the core AI for a virtual speaking partner, designed specifically to help users build real-world communication skills through interactive, realistic dialogues with instant coaching. Research & Implementation: Stay at the forefront of AI research, experimenting with and applying the latest techniques (e.g., Transformers, Large Language Models) to solve unique challenges in language education. Collaborate and Ship: Work closely with product managers, software engineers, and language experts to integrate your AI models into our products, ensuring they are scalable, efficient, and deliver tangible value to our users. Yêu cầu công việc Hard Skills Requirements Bachelor's or Master's degree in Computer Science or related fields. At least 2 years of experience in the field of Natural Language Processing (NLP). Proficient in programming languages, especially Python (knowledge of C/C++ is an advantage), and capable of using frameworks such as Tensorflow, Keras, PyTorch. Expertise in building, analyzing data, training, and optimizing NLP models. Experience in model serving (using RayServe, Triton, TorchServe, etc.) and service integration and deployment is an advantage. Significant experience with Large Language Models (LLM) is a major advantage. Proficient use of Git, Docker. Experience with data organization systems: Database (Postgres, MySQL), Cache (Redis), Queue (RabbitMQ, Kafka) is an advantage. Ability to comprehend technical documents, scientific articles, and stay up-to-date with the State of The Art (SOTA). Strong analytical and problem-solving skills. Proficient in applying AI to research and problem solving Soft Skills Requirements High enthusiasm and responsibility. Good communication skills, proactive, flexible at work, collaborative, and friendly within the team. Careful in work and considerate of customers. Fluency in English and Chinese is an advantage. Tại sao bạn yêu thích làm việc tại đây Salary: Up to 40 million VND. KPI bonus based on work results and company revenue (2-4 million/month), paid in monthly salary. Salary increases based on performance and contribution. Flexible working hours, a youthful and dynamic work environment. Health insurance, team building activities, annual vacations. Location: 34 Lang Ha Ward, Dong Da District, Ha Noi City. Hours: From Monday to Friday (40 hours/Week)"
artificial intelligence,AI Engineer,Samsung Southeast Asia & Oceania,Ho Chi Minh City Metropolitan Area,1 year ago,https://vn.linkedin.com/jobs/view/ai-engineer-at-samsung-southeast-asia-oceania-4102287553?position=5&pageNum=0&refId=33Y66S1lSv%2FjePRg7CCs0A%3D%3D&trackingId=hQYeh4O4IYWpUv2U3k2I8A%3D%3D,
artificial intelligence,AI/ML Engineer,TymeX,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 month ago,https://vn.linkedin.com/jobs/view/ai-ml-engineer-at-tymex-4336556972?position=6&pageNum=0&refId=33Y66S1lSv%2FjePRg7CCs0A%3D%3D&trackingId=HEv1EJ3YfaLA1rqW6v78SA%3D%3D,
artificial intelligence,AI Engineer (Applied AI Engineer),VinAI,Hanoi Capital Region,10 months ago,https://vn.linkedin.com/jobs/view/ai-engineer-applied-ai-engineer-at-vinai-4139664591?position=7&pageNum=0&refId=33Y66S1lSv%2FjePRg7CCs0A%3D%3D&trackingId=x5lQeYc6yVZvbakiFeSBLA%3D%3D,
artificial intelligence,AI/ML Engineer,"KMS Technology, Inc.",Ho Chi Minh City Metropolitan Area,6 days ago,https://vn.linkedin.com/jobs/view/ai-ml-engineer-at-kms-technology-inc-4345451430?position=8&pageNum=0&refId=33Y66S1lSv%2FjePRg7CCs0A%3D%3D&trackingId=mv3IjHVJKOrpGakpsEX9Vw%3D%3D,
artificial intelligence,AI Engineer,ĐÚNG NGƯỜI ĐÚNG VIỆC,"Phường Chí Minh, Hai Duong, Vietnam",17 hours ago,https://vn.linkedin.com/jobs/view/ai-engineer-at-%C4%91%C3%BAng-ng%C6%B0%E1%BB%9Di-%C4%91%C3%BAng-vi%E1%BB%87c-4346254956?position=9&pageNum=0&refId=33Y66S1lSv%2FjePRg7CCs0A%3D%3D&trackingId=rqINqTiyk1B%2FRxcwlMforw%3D%3D,
artificial intelligence,Python Developer (All Level),Saigon Technology - Accelerate Software Development,"Da Nang, Da Nang City, Vietnam",1 month ago,https://vn.linkedin.com/jobs/view/python-developer-all-level-at-saigon-technology-accelerate-software-development-4337155204?position=10&pageNum=0&refId=33Y66S1lSv%2FjePRg7CCs0A%3D%3D&trackingId=18ErF2p1txbqnbbDXkwVmg%3D%3D,
