keyword,job_title,company,location,posted_time,job_url,job_description
business intelligence,Business Analyst,adidas,Ho Chi Minh City Metropolitan Area,2 days ago,https://vn.linkedin.com/jobs/view/business-analyst-at-adidas-4295533791?position=1&pageNum=0&refId=wlpVrRWvLtSh50U%2BC%2Bieuw%3D%3D&trackingId=OKKDsfnJT%2FmC3vva9dQSMw%3D%3D,"FRS: Lead and drive consistent sales reporting, data analysis and reporting programs. Monitor and evaluate implementation of analytics toolset Develop best practice guidance and provide them in your scope of responsibility to other stakeholders to maximize the use of analytics capabilities. Establish and maintain customer sell out and inventory reporting, conducting quantitative product and sales analysis with Key Account monthly/quarterly meetings Assist in the development of Key Account Plans and ensure high quality of quarterly reviews Collate and Track Trade Spend across channel and by stores aligned to customer agreements Assist Omni channel marketing with collation and analyses of product performance in FRS channel. Support other business stakeholders and country/cluster as needed. ORT: Own all the data in ORT channel; lead and drive consistent sales reporting, data analysis and reporting programs. Prepare weekly and monthly reports. Interpret data, analyze results (KPIs; traffic, productivity, CR, NS, SM) and provide intelligent insights to the business; identify areas of opportunities and improvement Maintain a dashboard/score card to assist with strategic decision making, clear recommendations based on data and trends. Actively improving data management processes and insights Assist Omni channel marketing with collation and analyses of products performance within ORT channel. Campaign tracking and insights, learnings sharing Work with DTC Lead to maximize sales and profitability within the channel. Collate and Track Trade Spend across channel and by stores adidas celebrates diversity, supports inclusiveness and encourages individual expression in our workplace. We do not tolerate the harassment or discrimination toward any of our applicants or employees. We are an equal opportunity employer."
business intelligence,Business Analyst (All-levels),Momos,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 month ago,https://vn.linkedin.com/jobs/view/business-analyst-all-levels-at-momos-4335171432?position=2&pageNum=0&refId=wlpVrRWvLtSh50U%2BC%2Bieuw%3D%3D&trackingId=EaTDE7IOs9jaIp9Q4bCpfQ%3D%3D,"Overview Momos is a rapidly growing startup headquartered in San Diego and Singapore, building AI for customers at every location. Momos works with leading enterprise multi-location brands and QSRs globally, such as Firehouse Subs, Shake Shack, and Baskins Robbins, and powers the entire customer stack with AI for 20,000 locations globally. At Momos, our core principle is putting restaurants at the forefront of everything we do. Since day one, we have embedded the valuable feedback and input from our restaurant partners into our company culture and product design. This collaborative approach has been instrumental in creating a solution that truly meets the needs of the F&B industry. Today, we are proud to be trusted by over 2000 restaurants globally. If you have a passion for food and want to work for a mission-driven company that is actively shaping the future of the F&B industry, we would be thrilled to have you join our team. The Role We are seeking a Business Analyst to transform data into clear, actionable insights for both internal teams and customers. You will develop reporting systems, design dashboards, automate analyses, and deliver narrative-driven recommendations that improve product, operational, and commercial performance. This role works closely with cross-functional teams — including Product, Data Engineering, Marketing, Sales, and Operations — to establish scalable analytics foundations and demonstrate measurable ROI for our customers. Key Responsibilities Insights & Reporting Build executive-ready dashboards and business reviews that highlight trends, opportunities, and recommendations. Conduct recurring analyses to measure performance, customer behavior, and market movements. Develop market and competitive intelligence to support strategic decision-making. Analytics Automation Automate workflows for reports and presentations, standardizing templates and visual frameworks. Manage secure data delivery pipelines (S3, Snowflake, Google Sheets, scheduled CSVs). Establish reusable playbooks for internal and client analytics delivery. Product, Growth & Operations Analytics Define and track key product metrics, adoption funnels, and retention cohorts. Partner with Growth and Sales to analyze pipeline performance, pricing, and conversion drivers. Collaborate with Marketing to measure campaign ROI, attribution, and customer engagement. Data Quality & Collaboration Maintain QA checks and alert systems to ensure reliability of data pipelines. Work with Data Engineering to build analytics-ready datasets and scalable infrastructure. Support regional and functional teams with ad-hoc analysis and reporting requests. Communication & Enablement Translate complex analyses into clear, business-focused recommendations. Establish standardized KPI frameworks and data visualization templates. Drive insight adoption by embedding metrics and recommendations into daily workflows. Requirements Ideal Background: We welcome applicants across levels — from Junior to Senior Business Analyst — who demonstrate strong analytical thinking, curiosity, and the ability to translate data into impact. Bachelor's or Master's degree in Business Analytics, Economics, Statistics, Computer Science, or a related quantitative field. 1-5 years of experience in analytics, business intelligence, consulting, or revenue operations. Solid proficiency in SQL for querying and transforming large datasets. Experience with data visualization tools such as Tableau, Power BI, or Looker. Strong analytical storytelling and presentation skills; ability to communicate clearly with technical and non-technical audiences. Familiarity with cloud data platforms (Snowflake, BigQuery, Postgres, AWS) and spreadsheets for automation. Highly organized, detail-oriented, and comfortable working in a fast-paced, cross-functional environment. Nice to Have Experience with Python, dbt, or Airflow for automation. Exposure to A/B testing, causal inference, or marketing attribution modeling. Background in F&B tech, multi-location retail, or Adtech. Familiarity with Generative AI for insight summarization or narrative generation Location Ho Chi Minh city, Vietnam Benefits Private medical insurance Paid time off and flexible working culture A dynamic and inclusive company culture Access to the latest technology and tools for personal development Comprehensive onboarding program for new employees Employee recognition programs for outstanding performance A supportive environment that encourages innovation and creativity Cultural Values Mission-driven and fast-paced, entrepreneurial environment A collaborative and flat company culture Comprehensive private health insurance Discretionary trips to visit teams/ offices in the region Cross-cultural team bonding/networking Love Food? Join our Team! About Us Momos is the growth platform for F&B, founded in 2020, by food tech experts from Grab, Uber, Microsoft and Intuit. With our cloud-based marketing and analytics tools, restaurants are able to harness their data across all their online channels and can focus on maximizing their growth. Momos works with organizations of all sizes, from your local coffee shop to the largest restaurant groups in the region, helping them manage and grow their entire business. To learn more, visit www.momos.com Equal Opportunity Momos is an equal opportunity workplace where we embrace diversity and different cultures. We started as an international Company, and know that building an organization with different experiences, thoughts and opinions allows our team to grow and excel."
business intelligence,BUSINESS ANALYST (FRESHER/JUNIOR),Nexlab Technology,Ho Chi Minh City Metropolitan Area,3 weeks ago,https://vn.linkedin.com/jobs/view/business-analyst-fresher-junior-at-nexlab-technology-4341031449?position=3&pageNum=0&refId=wlpVrRWvLtSh50U%2BC%2Bieuw%3D%3D&trackingId=l6sy3GVEaP56mT9lxq%2FrVg%3D%3D,"Job Overview We are looking for a highly motivated Fresher/Junior Business Analyst to join our digital product team. This role is ideal for candidates who are passionate about analyzing business needs, supporting product development, and leveraging data analytics or AI-driven insights to improve user experience and operations. You will work closely with Product Owners, designers, developers, and business stakeholders to translate ideas into actionable requirements that shape high-quality digital solutions. ‍ Responsibilities Assist in gathering, analyzing, and documenting business requirements from stakeholders. Support the creation of process flows, use cases, activity diagrams, and user journey mappings. Perform basic data analysis using SQL, Excel, BI tools (PowerBI, Tableau) to support decision-making. Translate business needs into clear and structured User Stories, acceptance criteria, and requirement specs (BRD, SRS). Participate in Agile ceremonies: requirement grooming, sprint planning, daily stand-ups, and retrospectives. Assist in UAT activities: preparing test cases, validating features, capturing feedback, and tracking issues. Analyze user behavior and operational data to uncover insights and propose product enhancements. Support AI-related product features such as recommendation engines, semantic search, chatbot workflows, or content-generation use cases. Coordinate with designers and developers to ensure understanding and alignment of requirements. Maintain clear documentation and communicate effectively across teams. ‍ Qualifications Bachelor’s degree in Information Technology, Information Systems, Business Analytics, Data Science, Statistics, or a related field. Foundational understanding of business analysis concepts and SDLC. Ability to read and interpret basic technical documents (API specs, data models). Strong interest or academic background in data analytics: SQL, Excel, Python, or BI tools is a strong advantage. Basic understanding of AI/ML concepts or hands-on experience through academic projects is a plus. Familiarity with Agile/Scrum methodologies. Strong analytical thinking, curiosity, and ability to learn quickly. Good communication and interpersonal skills. Product mindset with the ability to use data to support decisions. ‍ Nice-to-have Internship or real project experience in AI, machine learning, BI dashboards, or data-driven analysis. Certifications in SQL, Data Analytics, Business Analysis Foundation, or Agile/Scrum. Experience with prototyping tools (Figma, Miro, Lucidchart) is a plus. ‍"
business intelligence,Data Analyst,TymeX,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",3 months ago,https://vn.linkedin.com/jobs/view/data-analyst-at-tymex-4299767188?position=4&pageNum=0&refId=wlpVrRWvLtSh50U%2BC%2Bieuw%3D%3D&trackingId=8tTC4BO4IfPYuQNKJiKCgw%3D%3D,"About This Role: We're looking for a Data Analyst who's excited to dig into the numbers, uncover insights, and help the business make smarter decisions. In this role, you'll partner with teams across the company to understand their questions, explore the data, and turn your findings into clear, practical recommendations. While your main focus will be analysis and storytelling, you'll also bring solid technical skills to the table — helping us build reliable datasets, improve reporting, and make sure our data is accurate and easy to use. You'll play a big part in strengthening our data-driven culture by making information more accessible and empowering colleagues to use data with confidence. Key Responsibilities Data Exploration & Modeling Collect, clean, and analyze data from multiple sources to support business needs. Build and maintain core analytical datasets and reports for cross-functional teams Ensure accuracy, consistency, and reliability of data through validation and quality checks. Apply statistical and analytical techniques to uncover trends and opportunities Business Partnership & Strategic Analysis Collaborate with business stakeholders to understand requirements and deliver actionable insights Conduct in-depth analyses on customer behavior, product usage, and market trends Translate complex data findings into clear, impactful recommendations for business strategy Support data-driven decision-making across marketing, operations, finance, and product teams Analytics Develop dashboards and KPI tracking tools to monitor business performance Design and execute experiments (e.g., A/B tests) to evaluate initiatives Present insights clearly and compellingly to technical and non-technical audiences Team Development & Knowledge Sharing Promote data literacy by helping colleagues understand and leverage analytical tools Share best practices in data analysis, visualization, and reporting Contribute to documentation and training to enhance organizational analytics maturity Dedicate a portion of time to cross-team projects that enhance company-wide data capabilities Requirements Technical Skills Programming: Strong SQL expertise including complex queries, CTEs, window functions, and optimization Languages: Proficiency in Python or PySpark for data manipulation and analysis Statistics: Solid foundation in statistical analysis, hypothesis testing, and experimental design Data Visualization: Experience with BI tools (Looker preferred, Tableau, or similar) Experience with Databricks Business & Financial Services 2+ years experience in financial services, fintech, or banking environment Understanding of credit risk, lending products, and regulatory requirements Knowledge of GDPR and data governance Experience with customer lifecycle analytics and retention strategies Core Competencies Business Judgment: Ability to make strategic and operational decisions using data Problem-Solving: Tackle complex problems involving business, regulatory, and operational variables Communication: Exceptional ability to influence stakeholders and present data convincingly Collaboration: Experience working cross-functionally with non-technical teams Preferred Qualifications Bachelor's degree in Mathematics, Statistics, Economics, Computer Science, or related quantitative field Experience with big data technologies and cloud platforms Machine learning and AI knowledge Previous experience in high-growth startup environments Familiarity with data modeling using statistical algorithms Experience building automated testing and monitoring systems Benefits Meal and parking allowance are covered by the company Full benefits and salary rank during probation Insurances as Vietnamese labor law and premium health care for you and your family without seniority compulsory Performance bonus up to 2 months 13th month salary pro-rata 15-day annual leave+ 3-day sick leave + 1 birthday leave + 1 Christmas leave SMART goals and clear career opportunities (technical seminar, conference, and career talk) - we focus on your development Values-driven, international working environment, and agile culture Overseas travel opportunities for training and working related Internal Hackathons and company's events (team building, coffee run, blue card...) Work-life balance 40-hr per week from Mon to Fri"
business intelligence,"Business Intelligence & Planning, ShopeeFood",Shopee,Ho Chi Minh City Metropolitan Area,3 weeks ago,https://vn.linkedin.com/jobs/view/business-intelligence-planning-shopeefood-at-shopee-4324828722?position=5&pageNum=0&refId=wlpVrRWvLtSh50U%2BC%2Bieuw%3D%3D&trackingId=bR6zy40IdwZWfrnMmtbMCw%3D%3D,"Mô tả công việc: Manage KPIs and incentive frameworks / tracking to monitor BD performance. Collaborate with PMO, BD, CP, and Fin teams to standardize SOPs for tracking out-of-system data (Ads, non-system investment, welcome package payment...) Develop and manage reporting dashboards to support BD teams in performance tracking Conduct BD team productivity and performance reviews; provide actionable insights to BD leadership. Deliver data analysis and support for decision-making. Yêu cầu công việc: 1–2 years of experience in Data Analysis, Business Analysis, or Business Intelligence. Hands-on experience with SQL and data crawling tools. Proficiency in Microsoft Office and Google Sheets. Experience in food delivery or e-commerce industries preferred. Strong project management and communication skills. Data-driven mindset with the ability to translate insights into actions. Ability to perform well under pressure in a fast-paced environment. Responsible, collaborative team player with a growth mindset."
business intelligence,Data Analyst - HCMC,OptiSigns Inc.,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",4 months ago,https://vn.linkedin.com/jobs/view/data-analyst-hcmc-at-optisigns-inc-4292875037?position=6&pageNum=0&refId=wlpVrRWvLtSh50U%2BC%2Bieuw%3D%3D&trackingId=r505Y2mQO0a%2F8pxGgMnVgA%3D%3D,
business intelligence,Business Intelligence Analyst (Business Development) - Shopee,Shopee,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2 weeks ago,https://vn.linkedin.com/jobs/view/business-intelligence-analyst-business-development-shopee-at-shopee-4319210068?position=7&pageNum=0&refId=wlpVrRWvLtSh50U%2BC%2Bieuw%3D%3D&trackingId=BBmMKpxmjyQ2N1C7rHnHow%3D%3D,
business intelligence,Business Intelligence,PMAX - Total Marketing Partner,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",6 days ago,https://vn.linkedin.com/jobs/view/business-intelligence-at-pmax-total-marketing-partner-4327928557?position=8&pageNum=0&refId=wlpVrRWvLtSh50U%2BC%2Bieuw%3D%3D&trackingId=BnRXsZDGPTTX57IdnxTKmQ%3D%3D,
business intelligence,Business Analyst (Buyer & Liquidity),Carousell Group,"Ho Chi Minh City, Vietnam",2 days ago,https://vn.linkedin.com/jobs/view/business-analyst-buyer-liquidity-at-carousell-group-4328758614?position=9&pageNum=0&refId=wlpVrRWvLtSh50U%2BC%2Bieuw%3D%3D&trackingId=TEnK8krisqfTJdTkb2%2FhTw%3D%3D,
business intelligence,Data Analyst (Junior/Middle),Amaris Consulting,Vietnam,6 days ago,https://vn.linkedin.com/jobs/view/data-analyst-junior-middle-at-amaris-consulting-4345161425?position=10&pageNum=0&refId=wlpVrRWvLtSh50U%2BC%2Bieuw%3D%3D&trackingId=hcfaizD9NAoJTXKF0xx%2Bmg%3D%3D,
