keyword,job_title,company,location,posted_time,job_url,job_description
data engineer,Python Developer (All Level),Saigon Technology - Accelerate Software Development,"Da Nang, Da Nang City, Vietnam",1 month ago,https://vn.linkedin.com/jobs/view/python-developer-all-level-at-saigon-technology-accelerate-software-development-4337155204?position=1&pageNum=0&refId=AMJ0F8J%2BzGR1%2FCfAvzKJ4A%3D%3D&trackingId=uqslbsUdrRqs1Prd0pSmmQ%3D%3D,"Job Description Work closely with our clients to develop product and configure the application to their business environment Work within a team & communicate effectively across teams Deal with technical challenges, programing tasks while managing client expectations and building long-term customer relations Implement assigned tasks from client/manager Job Requirements MUST HAVE SKILLS: From 1+ years of experience in Python Experience with any Python Web Framework: Django/FastAPI/Flask Experience working with Jinja2 Experience with Python ORM: SQLAlchemy, Pydantic Experience working with Docker, Git, Git flow, CI/CD Experience with Unit Test, Intergration Test Experience with Scaling and Building Stable Systems Have knowledge with Caching, DB, DB design Good at English NICE TO HAVE Experience with AI/ML/DL, especially ChatGPT and OpenAI... integration Experience with Data Engineer, Big Data/ ETL/ Airflow Experience working with micro-service projects Experience with NoSQL (MongoDB/DynamoDB), Vector Database (OpenSearch, Qdrant...) Experience with cloud services: AWS/Azure/GCP Skills Tags : Python, Django, DB Benefits Competitive Salary and Brilliant Health Benefits Attractive salary (13th-month salary, salary review twice/year) and project bonus Bonus programs for candidate referral, technical article writing Interest-free loan support for personal plan Allowance for sickness, maternity, paternity and periodic health examination PVI health care program The staff of the quarter and year reward Progressive and Fun Working Environment A professional English-speaking working environment with Agile – Scrum model Hybrid Working Model: Flexible working time and WFH support. Surrounded with friendly, open-minded, young and supportive colleagues Annual company trip and regular team-building parties, party celebration (Christmas, Birthday, Mid-autumn,...), Sports clubs (football, badminton, swimming …) Valuable Training Sponsor examination fee for professional certificates (AWS, Azure, IELTS, PMP, Scrum Master,...) Sponsor fee for joining any technical training sessions and courses. Free English workshops"
data engineer,Data Engineer (Junior) Mới,DTS Communication Technologies,"Hanoi, Hanoi, Vietnam",1 month ago,https://vn.linkedin.com/jobs/view/data-engineer-junior-m%E1%BB%9Bi-at-dts-communication-technologies-4333935329?position=2&pageNum=0&refId=AMJ0F8J%2BzGR1%2FCfAvzKJ4A%3D%3D&trackingId=Sre4Cs9VKVq82R22Zn5xdA%3D%3D,"MetaServ Hà Nội Up to 30.000.000 VND Mô tả công việc Thiết kế, triển khai và tối ưu pipeline ETL/ELT tự động, đảm bảo dữ liệu luân chuyển chính xác, ổn định và hiệu suất cao. Làm việc độc lập trong việc phân tích yêu cầu dữ liệu, mô hình hóa và tích hợp dữ liệu từ nhiều nguồn khác nhau (RDBMS, API, file, streaming). Xây dựng và quản lý Data Warehouse / Data Lake theo kiến trúc chuẩn (On-prem hoặc IBM Cloud Pak for Data). Thực hiện Data Quality Check, Metadata Management, Data Lineage nhằm đảm bảo tính toàn vẹn và truy xuất nguồn gốc dữ liệu. Tích hợp dữ liệu phục vụ Power BI hoặc IBM Cognos Analytics, hỗ trợ trực quan hóa và phân tích chuyên sâu. Triển khai các workflow tự động (scheduling, logging, notification) và tối ưu hiệu năng xử lý. Hỗ trợ đào tạo, hướng dẫn Data Engineer cấp thấp hơn (fresher / level 1) và tham gia vào quá trình review giải pháp kỹ thuật. Yêu cầu công việc Tốt nghiệp chuyên ngành CNTT, Khoa học máy tính, Hệ thống thông tin hoặc Toán – Tin Trên 2 năm kinh nghiệm ở vị trí Data Engineer / ETL Developer / BI Developer Hiểu rõ kiến trúc hệ thống dữ liệu (Data Warehouse, Data Lake, Data Mart) và mô hình dữ liệu (Star, Snowflake, Dimension, Fact) Thành thạo SQL nâng cao, Python (Pandas, PySpark) và quy trình ETL/ELT; quen với công cụ Orchestration như Airflow, DataStage, Prefect... Hiểu biết và có kinh nghiệm triển khai giải pháp dữ liệu IBM (DataStage, Watson Query, Cognos, CP4D, Data Governance Catalog) Hiểu về DataOps/DevOps, CI/CD, quản lý pipeline và version control bằng Git Có khả năng thiết kế, triển khai và tối ưu pipeline dữ liệu, xử lý dữ liệu lớn, xây dựng Data Model & Data Mart. Thành thạo xây dựng dashboard BI (Cognos, Power BI) và thiết lập Data Quality Rule, Metadata Catalog. Thực hiện review code, hướng dẫn team junior/fresher, đóng vai trò kỹ thuật nòng cốt trong nhóm. Quyền lợi Review công việc hàng năm, có cơ chế đánh giá và xét thưởng theo năng lực làm việc. BHXH full lương, tài trợ 100% Bảo hiểm tai nạn PVI (nhân viên chính thức) và gói BH sức khỏe theo thâm niên. Được tài trợ chi phí tham gia các khóa đào tạo nâng cao năng lực. Hệ thống chính sách đãi ngộ: các ngày lễ/ tết, sinh nhật, chương trình khám sức khỏe định kỳ. Môi trường trẻ trung, thân thiện, đồng nghiệp sẵn sàng hỗ trợ. Các hoạt động thể thao như yoga, cầu lông. Thường xuyên tổ chức các sự kiện nội bộ, du lịch thường niên. Nộp đơn Yêu cầu kinh nghiệm Từ 01 năm kinh nghiệm Trình độ học vấn Đại học Cấp bậc nghề nghiệp Nhân viên Hình thức làm việc Toàn thời gian Liên hệ Phòng Nhân sự Email: tuyendung@dts.com.vn SĐT: 024 3942 6568 (Ext: 325) Tin tuyển dụng liên quan MetaServ Mới Địa điểm: Hà Nội Ngày hết hạn: 31.12.2025 Chi tiết Xem thêm"
data engineer,Data Engineer,bTaskee,"Quận 12, Ho Chi Minh City, Vietnam",2 weeks ago,https://vn.linkedin.com/jobs/view/data-engineer-at-btaskee-4343137510?position=3&pageNum=0&refId=AMJ0F8J%2BzGR1%2FCfAvzKJ4A%3D%3D&trackingId=GimLSO%2B5NY4rjCohUzeDnw%3D%3D,"Job Overview bTaskee is looking for an extremely impressive Data Engineer to build and optimize data pipelines, ensuring seamless integration, quality, security, and scalability. We appreciate you taking the time to review the list of qualifications and to apply for the position. If you don’t fill all of the qualifications, you may still be considered depending on your level of experience. Responsibilities And Duties Design, build, and maintain efficient data pipelines and ETL processes; Optimize data systems for performance, reliability, and scalability; Collaborate closely with data scientists and analysts to support their data needs; Ensure data quality, security, and integrity across all platforms; Manage structured and unstructured data solutions effectively; Monitor data system performance, identify bottlenecks, and troubleshoot issues proactively; Maintain best practices for data governance and documentation. Qualifications And Skills Bachelor's or Master's degree in Computer Science, Artificial Intelligence, Data Science, or a related field; Minimum 2 years of experience as a Data Engineer, particularly in AI-driven environments; Expertise in programming languages such as Python, or Golang; Extensive experience with technologies such as Kafka, Kubernetes, and SQL/NoSQL databases; Solid understanding of data modeling, real-time processing, and database management; Optimize data flows for real-time analytics, machine learning, and decision-making processes; Monitor data pipelines and infrastructure proactively, resolving issues promptly; Familiarity with real-time streaming and event-driven architectures; Nice to have Knowledge of data orchestration tools like Apache Airflow; A strong background in Agentic AI or autonomous system projects is a big plus. Why You'll Love Working Here Professional development: Upgrade your skills and ignite your career; Collaborative atmosphere: Everyone works together to execute the mission; Team spirit: Caring for our people and bonding together are musts for us; Dynamic growth: Our teams are scaling up quickly as the recruiting market is booming. There’s no better time than now to come on board; bTaskee has a diverse, international, and supportive community culture. Our English-speaking environment lets you improve your language skills. At bTaskee, we don’t just work – we thrive with top-notch benefits! Competitive Salary – Rewarded based on your experience and skills; Annual Performance Review – Unlock growth opportunities every year; KPI-Based Salary – Earn what you deserve through your contributions; 13th-Month Bonus – Rewarded based on both your performance and the company’s success; BYOD Support – Get an allowance while enjoying the flexibility of using your own laptop; Comprehensive Healthcare – Regular check-ups & a premium health package; SHUI Compliance – Contributions aligned with legal regulations; Generous Leave Policy – Enjoy 12–16 annual leave days per year; Celebration Perks – Special benefits for birthdays, weddings, childbirth, and more; Engaging Workplace – Activities & exciting team-building events; Advance Home Care Benefit – Get a monthly bTaskee package, freeing up your time for learning, relaxation, and self-care. Working Schedule : Monday to Friday - 09:00 AM to 06:00 PM Working Location : HQ Tower - 201 Tran Nao, An Khanh Ward, Thu Duc City, HCMC."
data engineer,Analytics Engineer (Junior to Mid Level),Holistics Data,Vietnam,3 months ago,https://vn.linkedin.com/jobs/view/analytics-engineer-junior-to-mid-level-at-holistics-data-4301987191?position=4&pageNum=0&refId=AMJ0F8J%2BzGR1%2FCfAvzKJ4A%3D%3D&trackingId=%2FW2sKuD7135nlQrMZDlR1w%3D%3D,"Introduction Holistics is a Business Intelligence platform built for the AI era. We are the team behind projects like the BI tool Holistics, the database diagram tool dbdiagram.io, and the open-source project dbml.org. We help data teams build a trusted, supervised self-service analytics experience for their business stakeholders. We are searching for an Analytics Engineer (junior to mid-level) to help us evolve our data pipeline to support internal decisions, as well as helping our customers get more value of Holistics BI platform. This is a full-time role based in Ho Chi Minh City, Vietnam , with a flexible, hybrid WFH/WFO setup. ‍ What You Will Do This role is a hybrid of technical analytics work and customer-facing engagements. Your time will be allocated across two core functions. Internal data pipeline/modeling & BI: You will actively contribute to our internal data & BI platform, ensuring our internal stakeholders get the data they need Manage and enhance internal data pipeline: Contribute to the maintenance of our internal data ingestion, transformation, and reporting pipeline, ensuring data is timely and correct. This hands-on work will be a source of direct feedback for our product team. Build best-practice data models: Develop and refactor internal data models using dbt, following data modeling paradigms like Kimball/Inmon and star/snowflake schemas. These models will serve as real-world examples for customer education. Ensure data quality and integrity: Implement data tests and validation checks to ensure internal metrics are calculated correctly, translating these practices into customer-facing guidance. Research and experiment with new tools: Test-drive emerging BI and analytics engineering tools, evaluate how they might enhance our demos or internal stack, and share your findings with the product and marketing teams. Customer engagement: Besides working on internal data pipeline, you’ll also get the chance to engage with our customers directly on their analytics projects Guide customer onboarding: Work directly with new customers via shared Slack channels, review their data warehouse schemas, and coach them on data modeling best practices Develop enablement assets: Convert modeling best practices and hard-won insights into step-by-step guides, sample Git repositories, and short video tutorials so customers and internal teams can self-serve. Deliver scoped consulting: Spend focused time helping strategic accounts solve complex data modeling challenges, then document the patterns for future projects and content. Our current data setup About We wrote an entire book explaining the complex analytics landscape, so it’s fair to say that we know a thing or two about setting up data stack. Our data setup is as follows: Ingestion and Transformation: Event tracking (Snowplow) and ETLs from various data sources into our data lake (GCS) and data warehouse (BigQuery). The data is then transformed and moved to the data mart using dbt. Serving: Reporting is served on Holistics, and reverse-ETLs are handled to push data back into our CRMs for operational purposes. Orchestration: We use Prefect on top of the data stack to orchestrate and automate data pipelines and other operations. On the business side, we practice what we preach. That means instead of building reports and dashboards, Data team works to maintain a common set of metric definitions and educate the business users on how to self-serve the platform effectively. ‍ What We Look For In You We are seeking a candidate with a unique blend of technical depth and communication skills. Mindset A genuine interest in the data analytics / BI industry as a whole and a love for owning the entire data stack, not just one part of it. Systems thinking: You can reason about how business operations, data collection, and system architecture interact and affect one another. When you solve a problem once, you instinctively template it for the next fifty times. Excellent communication skills: You can communicate complex technical ideas clearly in both written and spoken English. You write like you code - clear, concise, and maintainable. Problem-solving orientation: You have solid problem decomposition skills and are energized by live problem-solving in workshops and discovery calls. Continuous learner: You possess a growth mindset and are excited to learn something new as part of your work every day. Technical Skills SQL: You have a good foundation in SQL. You can write readable queries to extract and manipulate data, and you can explain core concepts like grain and joins. Data Modeling: You are familiar with fundamental data modeling concepts (e.g., dimensional modeling) and schema designs (star/snowflake) and understand why we transform raw data into user-friendly formats. Programming: You have some experience with Python or an equivalent language for scripting and data manipulation tasks. Version Control: You are familiar with the basics of Git for tracking changes and collaborating on projects. Cloud Databases: You have exposure to, or academic experience with, a major cloud data warehouse (e.g., BigQuery, Snowflake, Redshift). Nice-to-haves: Exposure to dbt, Looker/LookML, Holistics, or other modern BI tools; a demonstrated interest in learning how data infrastructure empowers business decisions. ‍ Interview Process Round 1: A chat with the team and a light technical interview to discuss your skills, experience, and past projects.‍ Round 2: A short take-home assignment or on-site assignment to assess your technical and problem-solving skills.‍ Round 3: A culture and behavioral chat with management. ‍ Why You'll Love Working 💕 Benefits Flexible working arrangement, hybrid work (WFO+WFH) policies 14 annual leaves, 14 sick leaves, and childcare leave policy. Annual budget for personal and professional growth, well-being, and interest cultivations. 24/7 healthcare insurance; periodic medical checkups. 13-month salary; annual compensation reviews Weekly happy hours, company-organized events. 🏢 Workstations provided for maximum productivity MacBook (or Laptop) Grant Mechanical Keyboard + Mouse Big-screen monitor(s) 🌐 Working time: From Monday – Friday, from 9.00 a.m. to 6.00 p.m. 🌐 Work location: 457-459 Nguyen Dinh Chieu, Ward 5, District 3, Ho Chi Minh City, Vietnam. Apply now"
data engineer,Data Engineer (Junior/Middle),Synodus,"Hanoi, Hanoi, Vietnam",1 week ago,https://vn.linkedin.com/jobs/view/data-engineer-junior-middle-at-synodus-4343654575?position=5&pageNum=0&refId=AMJ0F8J%2BzGR1%2FCfAvzKJ4A%3D%3D&trackingId=WM20pxsazIAd4YV8LoHTmQ%3D%3D,
data engineer,Data Engineer,Hitachi Consulting ( formerly Information Management Group),Ho Chi Minh City Metropolitan Area,1 month ago,https://vn.linkedin.com/jobs/view/data-engineer-at-hitachi-consulting-formerly-information-management-group-4338961788?position=6&pageNum=0&refId=AMJ0F8J%2BzGR1%2FCfAvzKJ4A%3D%3D&trackingId=%2BVwNyK9ncy1A8bAnY5uphw%3D%3D,
data engineer,"Data Engineer (Numpy, Pandas)",LARION,"Ho Chi Minh City, Vietnam",14 hours ago,https://vn.linkedin.com/jobs/view/data-engineer-numpy-pandas-at-larion-4329310098?position=7&pageNum=0&refId=AMJ0F8J%2BzGR1%2FCfAvzKJ4A%3D%3D&trackingId=qY6f9M06cl6X4Nx9A9I5Ew%3D%3D,
data engineer,Data & CMMS Engineer,Nghi Son Refinery and Petrochemical Limited Liability Company,"Thanh Hoa, Thanh Hoa, Vietnam",5 months ago,https://vn.linkedin.com/jobs/view/data-cmms-engineer-at-nghi-son-refinery-and-petrochemical-limited-liability-company-4260002707?position=8&pageNum=0&refId=AMJ0F8J%2BzGR1%2FCfAvzKJ4A%3D%3D&trackingId=6DPrghDnHp5DE%2BfcMyODhg%3D%3D,
data engineer,Data Engineer Intern,ĐÚNG NGƯỜI ĐÚNG VIỆC,"Quoc Tuan Commune, Hai Phong City, Vietnam",2 weeks ago,https://vn.linkedin.com/jobs/view/data-engineer-intern-at-%C4%91%C3%BAng-ng%C6%B0%E1%BB%9Di-%C4%91%C3%BAng-vi%E1%BB%87c-4343261014?position=9&pageNum=0&refId=AMJ0F8J%2BzGR1%2FCfAvzKJ4A%3D%3D&trackingId=0Ak98BgDihtzvgR4FT8mrA%3D%3D,
data engineer,Fresher/ Junior Data Engineer,Bestarion: Leading Outsourcing Company in Vietnam,Ho Chi Minh City Metropolitan Area,2 days ago,https://vn.linkedin.com/jobs/view/fresher-junior-data-engineer-at-bestarion-leading-outsourcing-company-in-vietnam-4346031638?position=10&pageNum=0&refId=AMJ0F8J%2BzGR1%2FCfAvzKJ4A%3D%3D&trackingId=9PU5MLla1NWRTjIuSQofzw%3D%3D,
