keyword,job_title,company,location,posted_time,job_url,job_description
machine learning,AI Engineer,Samsung Electronics HCMC CE Complex,Ho Chi Minh City Metropolitan Area,1 year ago,https://vn.linkedin.com/jobs/view/ai-engineer-at-samsung-electronics-hcmc-ce-complex-4102959176?position=1&pageNum=0&refId=QnE7sNAN62xsuZksW%2BzH%2FQ%3D%3D&trackingId=AVxcbqvLATK%2BPSmdY7ZdpA%3D%3D,"Position Summary Role and Responsibilities Research, design and apply machine learning for auto defect analysis and issues detection. Improve auto ecosystem with intelligent auto testing solution. Data analysis and find out the issue, analyze production defect in real market. Ensures completion of all documentation required for production introduction. Use GitHub for source code repository and Jira for task tracking. Skills And Qualifications Bachelor's or Master's Degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. 2+ years of experience with Python, SQL/NoSQL, Linux, Docker, AI Good in English communication for working. Ability to work on multiple tasks concurrently. Self-motivated with a strong desire to learn. Solid decision-making skills and judgment – can be depended upon to meet goals, foresee and avert problems. Python programming experience. Solid scripting skills (i.e., shell scripts, Python). Familiarity in relevant machine learning frameworks and packages such as Tensorflow and PyTorch. Thorough understanding of NLP techniques for text representation and modeling Strong understanding SLQ/NoSQL, Docker. Familiar with graph, data display & analysis. Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here."
machine learning,Freelance Machine Learning Engineer (Python),Mindrift,Vietnam,1 week ago,https://vn.linkedin.com/jobs/view/freelance-machine-learning-engineer-python-at-mindrift-4344754488?position=2&pageNum=0&refId=QnE7sNAN62xsuZksW%2BzH%2FQ%3D%3D&trackingId=KB2q%2FzzxYO1VPjwuCTiWYg%3D%3D,"This opportunity is only for candidates currently residing in the specified country. Your location may affect eligibility and rates. Please submit your resume in English and indicate your level of English proficiency. At Mindrift, innovation meets opportunity. We believe in using the power of collective intelligence to ethically shape the future of AI. What We Do The Mindrift platform connects specialists with AI projects from major tech innovators. Our mission is to unlock the potential of Generative AI by tapping into real-world expertise from across the globe. About The Role GenAI models are improving very quickly, and one of our goals is to make them capable of addressing specialized questions and achieving complex reasoning skills. If you join the platform as a Machine Learning expert, you'll have the opportunity to collaborate on these projects. Although every project is unique, you might typically: Design original computational STEM problems that simulate real scientific workflows Create problems that require Python programming to solve Ensure problems are computationally intensive and cannot be solved manually within reasonable timeframes (days/weeks) Develop problems requiring non-trivial reasoning chains and creative problem-solving approaches Verify solutions using Python with standard libraries (numpy, pandas, scipy, sklearn) Document problem statements clearly and provide verified correct answers How To Get Started Simply apply to this post, qualify, and get the chance to contribute to projects aligned with your skills, on your own schedule. From creating training prompts to refining model responses, you'll help shape the future of AI while ensuring technology benefits everyone. Requirements You hold a Master's or PhD Degree in Computer Science, Mathematics, Physics, Engineering, or a similar STEM field You have at least 5 years of Machine Learning experience with proven business impact Strong programming skills in Python (numpy, pandas, scipy, sklearn) Solid understanding of numerical methods and computational algorithms Research or industry experience involving computational problem-solving Your level of English is advanced (C1) or above You are ready to learn new methods, able to switch between tasks and topics quickly and sometimes work with challenging, complex guidelines Our freelance role is fully remote so, you just need a laptop, internet connection, time available and enthusiasm to take on a challenge Benefits Why this freelance opportunity might be a great fit for you? Get paid for your expertise, with rates that can go up to $46/hour depending on your skills, experience, and project needs Take part in a part-time, remote, freelance project that fits around your primary professional or academic commitments Work on advanced AI projects and gain valuable experience that enhances your portfolio Influence how future AI models understand and communicate in your field of expertise"
machine learning,Freelance Machine Learning AI Trainer (Python),Mindrift,Vietnam,1 week ago,https://vn.linkedin.com/jobs/view/freelance-machine-learning-ai-trainer-python-at-mindrift-4344634693?position=3&pageNum=0&refId=QnE7sNAN62xsuZksW%2BzH%2FQ%3D%3D&trackingId=LLlmBvtRo3PkI7SV9NGNdg%3D%3D,"This opportunity is only for candidates currently residing in the specified country. Your location may affect eligibility and rates. Please submit your resume in English and indicate your level of English proficiency. At Mindrift, innovation meets opportunity. We believe in using the power of collective intelligence to ethically shape the future of AI. What We Do The Mindrift platform connects specialists with AI projects from major tech innovators. Our mission is to unlock the potential of Generative AI by tapping into real-world expertise from across the globe. About The Role GenAI models are improving very quickly, and one of our goals is to make them capable of addressing specialized questions and achieving complex reasoning skills. If you join the platform as a Machine Learning expert, you'll have the opportunity to collaborate on these projects. Although every project is unique, you might typically: Design original computational STEM problems that simulate real scientific workflows Create problems that require Python programming to solve Ensure problems are computationally intensive and cannot be solved manually within reasonable timeframes (days/weeks) Develop problems requiring non-trivial reasoning chains and creative problem-solving approaches Verify solutions using Python with standard libraries (numpy, pandas, scipy, sklearn) Document problem statements clearly and provide verified correct answers How To Get Started Simply apply to this post, qualify, and get the chance to contribute to projects aligned with your skills, on your own schedule. From creating training prompts to refining model responses, you'll help shape the future of AI while ensuring technology benefits everyone. Requirements You hold a Master's or PhD Degree in Computer Science, Mathematics, Physics, Engineering, or a similar STEM field You have at least 5 years of Machine Learning experience with proven business impact Strong programming skills in Python (numpy, pandas, scipy, sklearn) Solid understanding of numerical methods and computational algorithms Research or industry experience involving computational problem-solving Your level of English is advanced (C1) or above You are ready to learn new methods, able to switch between tasks and topics quickly and sometimes work with challenging, complex guidelines Our freelance role is fully remote so, you just need a laptop, internet connection, time available and enthusiasm to take on a challenge Benefits Why this freelance opportunity might be a great fit for you? Get paid for your expertise, with rates that can go up to $46/hour depending on your skills, experience, and project needs Take part in a part-time, remote, freelance project that fits around your primary professional or academic commitments Work on advanced AI projects and gain valuable experience that enhances your portfolio Influence how future AI models understand and communicate in your field of expertise"
machine learning,Machine Learning,NMS,"Hanoi, Hanoi, Vietnam",8 months ago,https://vn.linkedin.com/jobs/view/machine-learning-at-nms-4207840962?position=4&pageNum=0&refId=QnE7sNAN62xsuZksW%2BzH%2FQ%3D%3D&trackingId=3elJFme5LresLRYRzW1Nlw%3D%3D,"MÔ TẢ CÔNG VIỆC Tham gia các dự án ứng dụng trí tuệ nhân tạo trong lĩnh vực an ninh mạng, xây dựng các giải pháp bảo mật nhằm phát hiện tấn công mạng. Cùng team tham gia vào các cuộc thi hấp dẫn về AI trên Kaggle. YÊU CẦU Thành thạo một trong các ngôn ngữ sau: Golang, Scala, Python Có trên 1 năm kinh nghiệp lập trình 2 trong những công nghệ sau: MapReduce (Hadoop, Spark, Flink), Queue processing (Kafka, Redis,ReditMQ, …), Workflow (Oozie, …), Concurrent programming (Akka, Go channel, …) Có trên 1 năm kinh nghiệm làm dự án liên quan đến một trong các công nghệ học máy sau: SVM, Decision tree, Deep learning for computer vision, Reinforcement learning Có trên 1 năm kinh nghiệm về xử lý dữ liệu văn bản, xử lý sâu, các thuật toán xử lý dữ liệu trích chọn đặc trưng trong NLP Có trên 1 năm kinh nghiệm làm việc với dữ liệu lớn: trên 60k event per seconds hoặc trên 10GB per day. Sử dụng thành thạo các cấu trúc dữ liệu: Array, Set, HashMap, Linked List,… ; Và giải thuật cơ bản: sắp xếp, tìm kiếm, Nắm được quy trình phát triển phần mềm, có kỹ năng code tốt, nắm được coding convention, (Behavior Test & Integration test là một lợi thế) Làm việc thành thạo trên môi trường Linux Sử dụng thành thạo git Có kinh nghiệm làm việc với các dự án MicroServices, CICD, Docker là một lợi thế Có kinh nghiệm làm việc trong các dự án theo mô hình Agile là một lợi thế QUYỀN LỢI Mức thu nhập cạnh tranh: 600$ – 1000$ “NMS care” bảo hiểm dành riêng cho nhân viên NMS. Nghỉ mát: Theo chính sách của công ty (vào tháng 5-6 hàng năm). Có cơ hội được xem xét nâng lương 2 lần 01 năm, tùy vào kết quả công việc. Môi trường làm việc hiện đại, thân thiện. Chính sách cho người lao động tuân theo “Bộ luật lao động” tại Việt Nam"
machine learning,AI Engineer,Samsung Southeast Asia & Oceania,Ho Chi Minh City Metropolitan Area,1 year ago,https://vn.linkedin.com/jobs/view/ai-engineer-at-samsung-southeast-asia-oceania-4102287553?position=5&pageNum=0&refId=QnE7sNAN62xsuZksW%2BzH%2FQ%3D%3D&trackingId=VaaX%2FG%2BVOXL23%2F9o60dNkA%3D%3D,"Position Summary Role and Responsibilities Research, design and apply machine learning for auto defect analysis and issues detection. Improve auto ecosystem with intelligent auto testing solution. Data analysis and find out the issue, analyze production defect in real market. Ensures completion of all documentation required for production introduction. Use GitHub for source code repository and Jira for task tracking. Skills And Qualifications Bachelor's or Master's Degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. 2+ years of experience with Python, SQL/NoSQL, Linux, Docker, AI Good in English communication for working. Ability to work on multiple tasks concurrently. Self-motivated with a strong desire to learn. Solid decision-making skills and judgment – can be depended upon to meet goals, foresee and avert problems. Python programming experience. Solid scripting skills (i.e., shell scripts, Python). Familiarity in relevant machine learning frameworks and packages such as Tensorflow and PyTorch. Thorough understanding of NLP techniques for text representation and modeling Strong understanding SLQ/NoSQL, Docker. Familiar with graph, data display & analysis. Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here."
machine learning,AI/ML Engineer,TymeX,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 month ago,https://vn.linkedin.com/jobs/view/ai-ml-engineer-at-tymex-4336556972?position=6&pageNum=0&refId=QnE7sNAN62xsuZksW%2BzH%2FQ%3D%3D&trackingId=gjpEH6Cc4AweFoYv9bF7sQ%3D%3D,
machine learning,AI/ML Engineer,"KMS Technology, Inc.",Ho Chi Minh City Metropolitan Area,6 days ago,https://vn.linkedin.com/jobs/view/ai-ml-engineer-at-kms-technology-inc-4345451430?position=7&pageNum=0&refId=QnE7sNAN62xsuZksW%2BzH%2FQ%3D%3D&trackingId=L3nlCOVGGsn5wQtXC2KErw%3D%3D,
machine learning,AI Engineer,TMA Solutions - Tuyển Dụng Ứng Viên Kinh Nghiệm,"Quang Trung Ward, Hanoi, Vietnam",2 days ago,https://vn.linkedin.com/jobs/view/ai-engineer-at-tma-solutions-tuy%C3%AA%CC%89n-du%CC%A3ng-%C6%B0%CC%81ng-vi%C3%AAn-kinh-nghi%C3%AA%CC%A3m-4345933643?position=8&pageNum=0&refId=QnE7sNAN62xsuZksW%2BzH%2FQ%3D%3D&trackingId=fdRZWWxJKdkgmUAV%2FM7G4Q%3D%3D,
machine learning,Python Developer (All Level),Saigon Technology - Accelerate Software Development,"Da Nang, Da Nang City, Vietnam",1 month ago,https://vn.linkedin.com/jobs/view/python-developer-all-level-at-saigon-technology-accelerate-software-development-4337155204?position=9&pageNum=0&refId=QnE7sNAN62xsuZksW%2BzH%2FQ%3D%3D&trackingId=%2B%2BLYFjG0bhsAobrTfl9exQ%3D%3D,
machine learning,Machine Learning - ML Engineer,TechX Corp.,"District 3, Ho Chi Minh City, Vietnam",4 weeks ago,https://vn.linkedin.com/jobs/view/machine-learning-ml-engineer-at-techx-corp-4324577349?position=10&pageNum=0&refId=QnE7sNAN62xsuZksW%2BzH%2FQ%3D%3D&trackingId=DDwqd0nSvtaob08dHB2cNA%3D%3D,
